,driver_id,charge_path
27,277d49e789-efdd-43df-8ca6-ef7880ea81dc,"[0.68736172 0.68736172 0.68736172 0.68736172 0.68736172 0.68736172
 0.68736172 0.68736172 0.68736172 0.68736172 0.68736172 0.68736172
 0.68736172 0.8        0.8        0.8        0.76294399 0.7535487
 0.71291763 0.71291763 0.71291763 0.71291763 0.68913701 0.66233985]"
28,288ed3dc8e-5bea-480e-8dd2-94ef1bd0e770,"[0.68856246 0.68856246 0.68856246 0.68856246 0.68856246 0.68856246
 0.68856246 0.68856246 0.68856246 0.68856246 0.68856246 0.68856246
 0.68856246 0.68856246 0.8        0.77162312 0.77162312 0.69987129
 0.67867412 0.67603212 0.6469985  0.62790451 0.61443917 0.61443917]"
29,2967502e3f-2cc2-4c6b-8f73-f9a2406b0776,"[0.64075991 0.64075991 0.64075991 0.64075991 0.64075991 0.64075991
 0.64075991 0.64075991 0.64075991 0.64075991 0.64075991 0.64075991
 0.64075991 0.64075991 0.68333333 0.8        0.75703928 0.72601378
 0.72601378 0.72601378 0.71906917 0.71906917 0.70916858 0.69729302]"
30,303c843ea6-1f1d-4d50-86d5-6bc5c1c86d41,"[0.71966402 0.71966402 0.71966402 0.71966402 0.71966402 0.71966402
 0.71966402 0.71966402 0.71966402 0.71966402 0.71966402 0.8
 0.78387672 0.76891276 0.73431183 0.70369345 0.67081093 0.6658186
 0.6658186  0.6482936  0.63916626 0.62492168 0.5912723  0.58418039]"
31,3183138527-61cf-4ad1-8f8e-2025af9f5a3c,"[0.68420029 0.68420029 0.68420029 0.68420029 0.68420029 0.68420029
 0.68420029 0.68420029 0.68420029 0.68420029 0.68420029 0.68420029
 0.68420029 0.8        0.78184414 0.78157062 0.77520523 0.77314866
 0.76549881 0.76549881 0.73707721 0.73707721 0.71001889 0.70047381]"
32,3240d21f87-5bfc-4850-ab1c-10855af76804,"[0.71391631 0.71391631 0.71391631 0.71391631 0.71391631 0.71391631
 0.71391631 0.71391631 0.71391631 0.71391631 0.71391631 0.8
 0.7741417  0.73876625 0.71107195 0.71107195 0.65145133 0.62611602
 0.62611602 0.61845706 0.60306629 0.5720771  0.5720771  0.5720771 ]"
33,33c0783cc4-af74-460e-be2d-d52164ef1068,"[0.67075329 0.67075329 0.67075329 0.67075329 0.67075329 0.67075329
 0.67075329 0.67075329 0.68333333 0.8        0.78796563 0.78740753
 0.77742017 0.77742017 0.77742017 0.77742017 0.74548097 0.71517787
 0.71517787 0.68254028 0.6470272  0.63963891 0.63963891 0.62587418]"
34,345792e1e5-a53d-419c-a168-99244ef1dbb7,"[0.69281462 0.69281462 0.69281462 0.69281462 0.69281462 0.69281462
 0.69281462 0.69281462 0.69281462 0.69281462 0.69281462 0.69281462
 0.8        0.76532121 0.73851934 0.70962252 0.70962252 0.7091772
 0.68659286 0.6620164  0.6620164  0.64197727 0.64197727 0.62219465]"
35,35447ef263-58b4-4108-b4bf-f6664b2d5b2f,"[0.7131513  0.7131513  0.7131513  0.7131513  0.7131513  0.7131513
 0.7131513  0.7131513  0.7131513  0.7131513  0.7131513  0.7131513
 0.7131513  0.7131513  0.8        0.8        0.76729394 0.73465256
 0.69526023 0.64271466 0.61759399 0.57338267 0.55463074 0.5511605 ]"
36,36bb15ad61-ca73-4acc-be87-f10c6ea8cf5b,"[0.58376531 0.58376531 0.58376531 0.58376531 0.58376531 0.58376531
 0.58376531 0.58376531 0.58376531 0.58376531 0.58376531 0.58376531
 0.58376531 0.58376531 0.58376531 0.58376531 0.68333333 0.8
 0.75875589 0.75875589 0.75875589 0.75510229 0.75510229 0.75510229]"
